dashboard_id,category,sheet_name,mark_type,status,error_name,severity,problem,fix,source_rule,annotator_label,notes
hr/Diversity in Human Resources _ #RWFD,hr,Female% Bar,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,Female% Trend,line,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,Female% Var Indicator,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,Female_Var,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/Diversity in Human Resources _ #RWFD,hr,KPI by Performance Rating/Emp Satisfaction,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,KPI by Position/Department,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,KPI by Tenure/Education/Education Field,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,POC Var Indicator,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,POC% Bar,bar,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,POC% Trend,line,Clean,,,,,,,
hr/Diversity in Human Resources _ #RWFD,hr,POC_Var,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/Example HR Business Dashboard,hr,Headcount / Gender,pie,Clean,,,,,,,
hr/HR - People Analytics,hr,Gender,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR ANALYTICS DASHBOARD,hr,Attrition Rate By Gender For Different Age Group,pie,Clean,,,,,,,
hr/HR ANALYTICS DASHBOARD,hr,Department Wise Attrition,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR ANALYTICS DASHBOARD,hr,Job Satisfaction Rating,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard #RWFD,hr,A_Dept,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Attrition Dashboard #RWFD,hr,A_Dept,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0sx10n90mg1jdb1ew8jy512b2wxq' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Attrition Dashboard #RWFD,hr,Attrition Trend,area,Clean,,,,,,,
hr/HR Attrition Dashboard (1),hr,Attrition table,text,Clean,,,,,,,
hr/HR Attrition Dashboard (1),hr,age n,pie,Clean,,,,,,,
hr/HR Attrition Dashboard (1),hr,balance,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard (1),hr,dept,bar,Clean,,,,,,,
hr/HR Attrition Dashboard (1),hr,environment,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard (1),hr,involvement,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard (1),hr,relationship,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard (1),hr,satisfaction,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Age Group,bar,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Age Group (A),bar,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Attrition Detail,text,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Attrition Trend- M,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Attrition Trend- Q,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Attrition Trend- W,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Attrition Trend- Y,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Avg. Satisfaction Score,bar,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Department,pie,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Education,bar,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Education (A),bar,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Environment Satisfaction ,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Environment Satisfaction (A),square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Gender,pie,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Job Involvement ,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Job Involvement (A),square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Job Satisfaction ,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Job Satisfaction (A),square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Relationship Satisfaction ,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Relationship Satisfaction (A),square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Satisfaction Score Header,text,Clean,,,,,,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Work Life Balance,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,hr,Work Life Balance (A),square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard,hr,age,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,ageOverview,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Attrition Dashboard,hr,attritionInstances,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,distance,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,environmentSat,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,jobInvolvement,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,jobSat,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,monitoring,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Attrition Dashboard,hr,monthlyIncome,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,monthlyRate,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,relationshipSat,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,salaryHike,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,staffSat,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,stockOptionLvl,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,trainingTimes,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,workLifeBalance,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,workingYears,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,yearsAtCo,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,yearsInRole,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,yearsSincePromo,area,Clean,,,,,,,
hr/HR Attrition Dashboard,hr,yearsWithMgr,area,Clean,,,,,,,
hr/HR Dashboard  (1),hr, Job Satisfaction Vs Montly Salary,circle,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Active Employee Count,line,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Attrition Count,line,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Attrition Rate,line,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Avg Montly Rate,line,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Department wise Attrition,pie,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Educataion Field Wise & Attrition details,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0x1mtj60znfz121aym6d806grhot' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Dashboard  (1),hr,Education Wise Attrition,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Employee Count,line,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Environment Satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Gender,pie,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Hourly Vs Montly Pay rate,bar,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Job Involvement,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Job satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Relationship satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Total Vs Currany Company Experience,bar,Clean,,,,,,,
hr/HR Dashboard  (1),hr,Work Life balance,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard  (1),hr,Years At company Vs Current Role,bar,Clean,,,,,,,
hr/HR Dashboard #RWFD,hr,Bottom Line,line,Clean,,,,,,,
hr/HR Dashboard #RWFD,hr,Employees by Birthdate,bar,Clean,,,,,,,
hr/HR Dashboard #RWFD,hr,Table view,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard #RWFD,hr,Upper Line,line,Clean,,,,,,,
hr/HR Dashboard (1),hr,Age,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard (1),hr,Budget Utilizatiom,bar,Clean,,,,,,,
hr/HR Dashboard (1),hr,Churn,bar,Clean,,,,,,,
hr/HR Dashboard (1),hr,Donut,pie,Clean,,,,,,,
hr/HR Dashboard (1),hr,Gender Ratio,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard (1),hr,Location,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard (1),hr,Tenure,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard (1),hr,Yield,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,1. Employee Table,circle,Clean,,,,,,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Hires Context Quarter,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Hires Context Year,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Switch to Department,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Switch to Job,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Terms Context Quarter,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,Terms Context Year,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,by Department,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,by Gender,pie,Clean,,,,,,,
hr/HR Dashboard - #RWFD _ VOTD,hr,by Gender & Age,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard - #RWFD _ VOTD,hr,by Job,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard - Modern UI,hr,Active Employees - %diff,line,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,By Performance Score,line,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,Department,bar,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,Employee Citizenship,pie,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,Employee Status,bar,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,Employees by Pay Rate,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Dashboard - Modern UI,hr,Terminated Employees - %diff,line,Clean,,,,,,,
hr/HR Dashboard - Modern UI,hr,Termination by quarter,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
hr/HR Dashboard ,hr, Job Satisfaction Vs Montly Salary,circle,Clean,,,,,,,
hr/HR Dashboard ,hr,Active Employee Count,line,Clean,,,,,,,
hr/HR Dashboard ,hr,Attrition Count,line,Clean,,,,,,,
hr/HR Dashboard ,hr,Attrition Rate,line,Clean,,,,,,,
hr/HR Dashboard ,hr,Avg Montly Rate,line,Clean,,,,,,,
hr/HR Dashboard ,hr,Department wise Attrition,pie,Clean,,,,,,,
hr/HR Dashboard ,hr,Educataion Field Wise & Attrition details,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0x1mtj60znfz121aym6d806grhot' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Dashboard ,hr,Education Wise Attrition,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Employee Count,line,Clean,,,,,,,
hr/HR Dashboard ,hr,Environment Satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Gender,pie,Clean,,,,,,,
hr/HR Dashboard ,hr,Hourly Vs Montly Pay rate,bar,Clean,,,,,,,
hr/HR Dashboard ,hr,Job Involvement,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Job satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Relationship satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Total Vs Currany Company Experience,bar,Clean,,,,,,,
hr/HR Dashboard ,hr,Work Life balance,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard ,hr,Years At company Vs Current Role,bar,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,Hike Salary Rate,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard RWFD 2024,hr,Marital,pie,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,OvetTimeInc,pie,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,OvetTimeTer,pie,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,PerfRating,pie,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,Rate_Hike,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard RWFD 2024,hr,SalaryTime,bar,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,Sat_Matrix,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard RWFD 2024,hr,TermAttr,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard RWFD 2024,hr,TimeLine,bar,Clean,,,,,,,
hr/HR Dashboard RWFD 2024,hr,Worked_Companies,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Dashboard _ #RWFD (1),hr,Bar - Location wise,bar,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Bar - Race wise,bar,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Detail Sheet,circle,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Pie - Gender wise,pie,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Pie - status wise (2),pie,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Trend - Contractual Employees,line,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Trend - Permanent Employees,line,Clean,,,,,,,
hr/HR Dashboard _ #RWFD (1),hr,Trend - Total Employees,line,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,active,bar,Flagged,No numeric field on any axis,ERROR,This bar chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
hr/HR Dashboard _ #RWFD,hr,bar city - tooltip,bar,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,bar states,bar,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,department,line,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,employee directory,circle,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,gender pie,pie,Clean,,,,,,,
hr/HR Dashboard _ #RWFD,hr,trend hiring,area,Clean,,,,,,,
hr/HR Dashboard,hr,Attrition Rate by Gender for Different Age Group,pie,Clean,,,,,,,
hr/HR Dashboard,hr,Department wise Attrition,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Dashboard,hr,Job Satisfaction Rating,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Data Analysis,hr,Department wise Attrition,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
hr/HR Data Analysis,hr,Different Age group Gender wise Attrition,pie,Clean,,,,,,,
hr/HR Data Analysis,hr,Rating of Job Satisfaction,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
hr/HR Diversity Dashboard (RWFD),hr,Gender,bar,Clean,,,,,,,
hr/HR Diversity Dashboard (RWFD),hr,Race,bar,Clean,,,,,,,
hr/HR Diversity Dashboard (RWFD),hr,Race Label,bar,Clean,,,,,,,
hr/HR Diversity Dashboard (RWFD),hr,Trend,area,Clean,,,,,,,
hr/HR Diversity Scorecard _ #RWFD,hr,Diversity BAN,pie,Clean,,,,,,,
hr/HR Diversity Scorecard _ #RWFD,hr,firm gender - race,bar,Clean,,,,,,,
hr/HR Diversity Scorecard _ #RWFD,hr,firm race - gender,bar,Clean,,,,,,,
